会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
三井住友フィナンシャルグループ,8316,銀行業,プライム（内国株式）,2025-03-31,,Tokyo,16322850193408.0,1.1305454,5066265000000.0,,0.35586,1177996000000.0,0.15399,0.03518,0.048008698780436065,13.350744,291440508000000.0,,,32500560000000.0,75590583000000.0,46379949000000.0,43090023000000.0,2.639859000691065
千葉銀行,8331,銀行業,プライム（内国株式）,2025-03-31,,Chiba City,1135246573568.0,0.9653729,249746000000.0,,0.40815,74259000000.0,0.27031,0.06501,0.052941359212385464,14.541418,20486102000000.0,,,3114190000000.0,4245781000000.0,3202125000000.0,1131591000000.0,0.9967799298820953
群馬銀行,8334,銀行業,プライム（内国株式）,2025-03-31,,Maebashi,644051959808.0,1.117811,160151000000.0,,0.37284002,43900000000.0,0.28469,0.082270004,0.053322603189073135,25.473684,9994238000000.0,,,1100233000000.0,1276230000000.0,2195792000000.0,175997000000.0,0.2732652192417316
武蔵野銀行,8336,銀行業,プライム（内国株式）,2025-03-31,,Saitama,135301275648.0,0.4919744,72790000000.0,,0.27562,13146000000.0,0.17596,0.049429998,0.04893627475065101,,5206986000000.0,,,63434000000.0,161488000000.0,1056170000000.0,98054000000.0,0.7247086143895453
千葉興業銀行,8337,銀行業,プライム（内国株式）,2025-03-31,,Chiba,100943568896.0,0.5831062,48823000000.0,,0.26959,7459000000.0,0.14875,0.04724,0.052405318884850095,,3072058000000.0,,,35810000000.0,244521000000.0,522186000000.0,208711000000.0,2.067600762313352
筑波銀行,8338,銀行業,プライム（内国株式）,2025-03-31,,Tsukuba,25280290816.0,0.2576009,33805000000.0,,0.19291,4103000000.0,0.11652,0.04632,0.031747014925889605,,2798133000000.0,,,143300000000.0,307350000000.0,422640000000.0,164050000000.0,6.489244969293315
七十七銀行,8341,銀行業,プライム（内国株式）,2025-03-31,,Sendai,464372531200.0,0.7692285,157017000000.0,,0.43055,39270000000.0,0.24904,0.06707,0.055066337540665825,24.354086,9848813000000.0,,,712325000000.0,1001241000000.0,2920008000000.0,288916000000.0,0.6221642767142209
秋田銀行,8343,銀行業,プライム（内国株式）,2025-03-31,,Akita,63671418880.0,0.3825385,46957000000.0,,0.20959,5662000000.0,0.13123,0.03776,0.04518514215795495,,3303248000000.0,,,87388000000.0,466752000000.0,877867000000.0,379364000000.0,5.9581521296859785
山形銀行,8344,銀行業,プライム（内国株式）,2025-03-31,,Yamagata,53331234816.0,0.37239897,45314000000.0,,0.17872,4412000000.0,0.09262,0.03146,0.04292326999343605,,3028251000000.0,,,119014000000.0,206595000000.0,817225000000.0,87581000000.0,1.6422083663010305
岩手銀行,8345,銀行業,プライム（内国株式）,2025-03-31,,Morioka,66383540224.0,0.34585205,42564000000.0,,0.25011998,6976000000.0,0.16489,0.03839,0.048558333664231,,3618130000000.0,,,169276000000.0,319122000000.0,1198152000000.0,149846000000.0,2.2572764196421296
東邦銀行,8346,銀行業,プライム（内国株式）,2025-03-31,,Fukushima,113865605120.0,0.5562997,59629000000.0,,0.26233,7445000000.0,0.12732,0.04166,0.029644954939247646,,6456005000000.0,,,222053000000.0,1235480000000.0,1222007000000.0,1013427000000.0,8.900202997489679
東北銀行,8349,銀行業,スタンダード（内国株式）,2025-03-31,,Morioka,12893060096.0,0.35081103,13615000000.0,,0.22461,1069000000.0,0.08563,0.031,0.03503916847346458,,974237000000.0,,,1110000000.0,63411000000.0,215411000000.0,62301000000.0,4.832134461184164
ふくおかフィナンシャルグループ,8354,銀行業,プライム（内国株式）,2025-03-31,,Fukuoka,856479956992.0,0.88324255,296141000000.0,,0.37518,72136000000.0,0.22076,0.07618,0.028800603100374078,11.137336,31333030000000.0,,,6310034000000.0,7160305000000.0,5597311000000.0,850271000000.0,0.9927506102842077
スルガ銀行,8358,銀行業,プライム（内国株式）,2025-03-31,,Numazu,275703365632.0,0.95146906,66683000000.0,,0.27098,20177000000.0,0.23332001,0.06283,0.08540817752987348,18.010508,3166451000000.0,,,,693361000000.0,444577000000.0,,
八十二銀行,8359,銀行業,プライム（内国株式）,2025-03-31,,Nagano,718468218880.0,0.7238333,201464000000.0,,0.38513002,47982000000.0,0.24160999,0.05016,0.07129023102382512,29.72538,12547659000000.0,,,2176443000000.0,3027055000000.0,3511743000000.0,850612000000.0,1.1839243235086936
山梨中央銀行,8360,銀行業,プライム（内国株式）,2025-03-31,,Kofu,99368747008.0,0.44765246,54711000000.0,,0.29336,7669000000.0,0.13406,0.035889998,0.04700319924117702,,4313770000000.0,,,493584000000.0,554863000000.0,1135925000000.0,61279000000.0,0.6166828288080007
大垣共立銀行,8361,銀行業,プライム（内国株式）,2025-03-31,,Ogaki,145090363392.0,0.44316944,113990000000.0,,0.1919,14718000000.0,0.12968999,0.047810003,0.048689837614429694,,6223375000000.0,,,272303000000.0,774352000000.0,1065325000000.0,502049000000.0,3.460250482959932
福井銀行,8362,銀行業,プライム（内国株式）,2025-03-31,,Fukui,51049119744.0,0.3583434,56122000000.0,,0.25672,7166000000.0,0.09671,0.04211,0.03181327775179359,,4150347000000.0,,,523514000000.0,872378000000.0,940172000000.0,348864000000.0,6.833888649784276
清水銀行,8364,銀行業,プライム（内国株式）,2025-03-31,,Shizuoka,23299469312.0,0.3153028,21187000000.0,,0.20966999,1861000000.0,0.0817,0.02885,0.03964669226338391,,1734014000000.0,,,118034000000.0,243103000000.0,263344000000.0,125069000000.0,5.367890501076148
富山銀行,8365,銀行業,スタンダード（内国株式）,2025-03-31,,Takaoka,9477462016.0,0.32562688,8949000000.0,,0.19344999,954000000.0,0.10548,0.034730002,0.051867371238726666,,519068000000.0,,,11561000000.0,30671000000.0,123008000000.0,19110000000.0,2.0163626050664405
滋賀銀行,8366,銀行業,プライム（内国株式）,2025-03-31,,Otsu,311973904384.0,0.68279517,103311000000.0,,0.3254,18720000000.0,0.18020001,0.04151,0.05908557099244084,128.95238,7083408000000.0,,,939675000000.0,898939000000.0,1802790000000.0,-40736000000.0,-0.1305750238323113
南都銀行,8367,銀行業,プライム（内国株式）,2025-03-31,,Nara,160795262976.0,0.5560622,76348000000.0,,0.23736,13510000000.0,0.15117,0.045100003,0.04053477288874278,,6575433000000.0,,,305375000000.0,678270000000.0,1549750000000.0,372895000000.0,2.319067073858125
百五銀行,8368,銀行業,プライム（内国株式）,2025-03-31,,Tsu,223011913728.0,0.5036364,103531000000.0,,0.17611,18042000000.0,0.15109,0.03556,0.058581341598930206,,6997772000000.0,,,550054000000.0,665527000000.0,1490200000000.0,115473000000.0,0.5177884807573037
紀陽銀行,8370,銀行業,プライム（内国株式）,2025-03-31,,Wakayama,191487410176.0,0.7931687,80261000000.0,,0.36915,17618000000.0,0.22896999,0.08527,0.03968587025282548,,5690164000000.0,,,762999000000.0,807017000000.0,832041000000.0,44018000000.0,0.22987412049461714
