会社名,銘柄コード,業種,優先市場,決算月,会計基準,都道府県,時価総額,PBR,売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,PER(会予),負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
免疫生物研究所,4570,医薬品,グロース（内国株式）,2025-03-31,,Fujioka,4498401280.0,2.8561292,969533000.0,209351000.0,0.25592,249047000.0,0.27129,0.17848,0.8206173220836788,,331031000.0,281335000.0,1390318000.0,204227000.0,825731000.0,95058000.0,621504000.0,0.1381610846420531
ＮＡＮＯ　ＭＲＮＡ,4571,医薬品,グロース（内国株式）,2025-03-31,,Tokyo,9785380864.0,3.6175022,108516000.0,-755349000.0,-27.142859,-835380000.0,0.0,-0.29751,0.6854917480717478,-5.596708,1257053000.0,1203432000.0,3621653000.0,540241000.0,1707452000.0,222120000.0,1167211000.0,0.1192811006768392
カルナバイオサイエンス,4572,医薬品,グロース（内国株式）,2024-12-31,,Kobe,4222067200.0,3.0374665,636235000.0,-2076105000.0,-5.15276,-2178576000.0,0.0,-0.92963,0.8929478033919949,1.9609584,296761000.0,222965000.0,2737717000.0,61341000.0,2108484000.0,,2047143000.0,0.4848674601863277
大幸薬品,4574,医薬品,プライム（内国株式）,2023-12-31,,Osaka,15226109952.0,1.915721,6120000000.0,-1006000000.0,0.00238,-3611000000.0,0.07067,0.05156,0.5096822995461422,65.86957,6482000000.0,3046000000.0,9109000000.0,3254000000.0,5484000000.0,236000000.0,2230000000.0,0.1464589449984289
キャンバス,4575,医薬品,グロース（内国株式）,2024-06-30,,Numazu,22446090240.0,7.740346,0.0,-1262040000.0,0.0,-1209599000.0,0.0,-0.43800998,0.96218927967347,,91988000.0,91988000.0,2308466000.0,,1888200000.0,,,
デ・ウエスタン・セラピテクス研究所,4576,医薬品,グロース（内国株式）,2024-12-31,,Nagoya,6678218752.0,7.5545897,471580000.0,-1209598000.0,-2.17727,-1290305000.0,-2.57957,-1.24899,0.4395888691085176,,935575000.0,132646000.0,1475382000.0,797976000.0,1126035000.0,142806000.0,328059000.0,0.0491237277757265
ダイト,4577,医薬品,プライム（内国株式）,2025-05-31,,Toyama,37482622976.0,0.72077805,50643000000.0,2620000000.0,0.053579997,1908000000.0,0.03768,0.03383,0.6666709399517974,5.7924004,25937000000.0,17049000000.0,41708000000.0,11885000000.0,2207000000.0,2091000000.0,-9678000000.0,-0.2581996464387455
大塚ホールディングス,4578,医薬品,プライム（内国株式）,2024-12-31,,Tokyo,4101003542528.0,1.5063717,2329861000000.0,415992000000.0,0.17697,343120000000.0,0.17024,0.15128,0.7310501488132249,14.956278,961087000000.0,632664000000.0,1366972000000.0,189383000000.0,426173000000.0,206272000000.0,236790000000.0,0.0577395258366527
ラクオリア創薬,4579,医薬品,グロース（内国株式）,2024-12-31,,Nagoya,14185345024.0,2.25666,3107575000.0,-213382000.0,-0.49879003,-495031000.0,-0.16280001,-0.08816,0.5769271798134987,22.222221,4084972000.0,1187495000.0,4538963000.0,3452334000.0,3340057000.0,547053000.0,-112277000.0,-0.0079149995865479
シンバイオ製薬,4582,医薬品,グロース（内国株式）,2024-12-31,,Tokyo,6826996736.0,2.88761,2452912000.0,-3876972000.0,-2.57823,-3833480000.0,-2.5694602,-1.05812,0.8448626531273166,3.5805628,770774000.0,766169000.0,4924231000.0,,3963580000.0,,,
